County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,1,1,1,1,1,2,2,3,3,4,6,6
Antelope,0,0,0,0,0,0,0,0,1,1,1,1
Arthur,0,0,0,0,0,0,0,0,0,0,0,0
Banner,0,0,0,0,0,0,0,0,0,0,0,0
Blaine,0,0,0,0,0,0,0,0,0,0,0,0
Boone,0,0,0,0,0,0,0,0,0,0,0,0
Box Butte,0,0,0,0,0,0,0,0,0,0,0,0
Boyd,0,0,0,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,2,2,2,2,4,4,5,6,6,7,8,9
Burt,0,0,0,0,0,0,0,0,0,0,0,0
Butler,0,0,0,0,0,0,0,0,0,0,0,0
Cass,1,2,2,2,2,2,2,2,2,2,2,2
Cedar,0,0,0,0,0,0,0,0,0,0,0,0
Chase,0,0,0,0,0,0,0,0,0,0,0,0
Cherry,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,0,0,0,0,0,0,0,0,0,0,0,1
Cuming,0,0,0,0,0,0,0,0,0,1,1,1
Custer,0,0,0,0,0,0,0,0,0,0,0,0
Dakota,0,0,0,0,0,0,0,0,0,0,0,0
Dawes,0,0,0,0,0,0,0,0,0,0,0,0
Dawson,0,0,0,0,0,1,1,1,1,1,1,1
Deuel,0,0,0,0,0,0,0,0,0,0,0,0
Dixon,0,0,0,0,0,0,0,0,0,0,0,0
Dodge,0,0,0,0,0,2,2,3,3,4,4,5
Douglas,34,39,43,44,44,51,57,75,85,101,116,124
Dundy,0,0,0,0,0,0,0,0,0,0,0,0
Fillmore,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0
Frontier,0,0,0,0,0,0,0,0,0,0,0,0
Furnas,0,0,0,0,0,0,0,0,0,0,0,0
Gage,0,1,1,1,1,1,1,0,0,0,1,2
Garden,0,0,0,0,0,0,0,0,0,0,0,0
Garfield,0,0,0,0,0,0,0,0,0,0,0,0
Gosper,0,0,0,0,0,0,1,1,1,1,1,1
Grant,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,0,0,0,0,0,0,0,0,0,0,0,0
Hall,0,0,0,0,0,3,3,6,8,15,17,26
Hamilton,0,0,0,0,0,0,0,0,0,0,2,3
Harlan,0,0,0,0,0,0,0,0,0,0,0,0
Hayes,0,0,0,0,0,0,0,0,0,0,0,0
Hitchcock,0,0,0,0,0,0,0,0,0,0,0,0
Holt,0,0,0,0,0,0,0,0,0,0,0,0
Hooker,0,0,0,0,0,0,0,0,0,0,0,0
Howard,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,0,0,0,0,0,0,0,0,0,0,0,0
Kearney,0,0,0,0,1,1,1,1,1,1,1,1
Keith,0,0,0,0,0,0,0,0,0,0,0,0
Keya Paha,0,0,0,0,0,0,0,0,0,0,0,0
Kimball,0,0,0,0,0,0,0,0,0,1,3,5
Knox,2,2,2,2,2,2,2,2,2,2,2,2
Lancaster,2,2,3,3,3,4,4,8,8,9,12,14
Lincoln,3,3,3,3,3,3,3,5,5,9,11,14
Logan,0,0,0,0,0,0,0,0,0,0,0,0
Loup,0,0,0,0,0,0,0,0,0,0,0,0
McPherson,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,1,1,1,1,1,1,2,2,3,4,5
Merrick,0,0,0,0,0,0,0,0,0,0,0,0
Morrill,0,0,0,0,0,0,0,0,0,0,0,0
Nance,0,0,0,0,0,0,0,0,0,0,0,0
Nemaha,1,1,1,1,1,1,1,1,1,1,1,1
Nuckolls,0,0,0,0,0,0,0,0,0,0,0,0
Otoe,0,0,0,0,0,0,0,0,0,0,1,1
Pawnee,0,0,0,0,0,0,0,0,0,0,0,0
Perkins,0,0,0,0,0,0,0,0,0,0,0,0
Phelps,0,0,0,0,0,0,0,0,0,0,0,0
Pierce,0,0,0,0,0,0,0,0,0,0,0,0
Platte,0,0,0,0,0,0,0,1,1,2,3,3
Polk,0,0,0,0,0,0,0,0,0,0,0,0
Red Willow,0,0,0,0,0,0,0,0,0,0,0,0
Richardson,0,0,0,0,0,0,0,0,0,0,0,0
Rock,0,0,0,0,0,0,0,0,0,0,0,0
Saline,0,0,0,0,0,0,0,0,0,0,0,0
Sarpy,5,8,8,8,10,11,11,13,16,17,20,24
Saunders,0,1,1,2,2,2,2,2,2,2,3,3
Scotts Bluff,0,0,0,0,0,0,0,1,1,3,3,3
Seward,0,0,0,0,0,0,0,0,0,0,0,0
Sheridan,0,0,0,0,0,0,0,0,0,0,0,0
Sherman,0,0,0,0,0,0,0,0,0,0,0,0
Sioux,0,0,0,0,0,0,0,0,0,0,0,0
Stanton,0,0,0,0,0,0,0,0,0,0,0,0
Thayer,0,0,0,0,0,0,0,0,0,0,0,0
Thomas,0,0,0,0,0,0,0,0,0,0,0,0
Thurston,0,0,0,0,0,0,0,0,0,0,0,0
Valley,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,3,3,4,5,5,5,9,19,19,19,19
Wayne,0,0,0,0,0,0,0,0,0,0,0,0
Webster,0,0,0,0,0,0,0,0,0,0,0,0
Wheeler,0,0,0,0,0,0,0,0,0,0,0,0
York,0,0,0,0,0,0,0,1,1,1,1,1
Out of NE,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,2,0,4,2,3,3,2,1
